"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Rebecca T. Partington",1,"1995-11-01","1995-10","94-1140","44 Liquormart Inc. v. Rhode Island","517 U.S. 484 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-1140&event=1"
"Rebecca Taibleson",1,"2020-10-14","2020-10","19-292","Torres v. Madrid","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-292&event=2"
"Rebecca Taibleson",2,"2021-12-07","2021-10","20-1459","United States v. Taylor","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-1459&event=2"
"Regene Freund Cohane",1,"1924-12-12","1924-10","153","Ebert v. Poston","266 U.S. 548 (1925)","https://argumentaloud.org/courts/ussc/?term=1924-10&case=153"
"Regina M. Small",1,"1981-01-12","1980-10","79-5932","Doe v. Delaware","450 U.S. 382 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=79-5932&event=1"
"Rena K. Uviller",1,"1970-01-20","1969-10","778","In re Winship","397 U.S. 358 (1970)","https://argumentaloud.org/courts/ussc/?term=1969-10&case=778&event=1"
"Rhonda Copelon",1,"1976-03-03","1975-10","74-1318","Drew Municipal Separate School Dist. v. Andrews","425 U.S. 559 (1976)","https://argumentaloud.org/courts/ussc/?term=1975-10&case=74-1318&event=1"
"Rhonda Copelon",2,"1980-04-21","1979-10","79-1268","Harris v. McRae","448 U.S. 297 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=79-1268&event=1"
"Rita C. LaLumia",1,"2000-02-22","1999-10","99-5153","Johnson v. United States","529 U.S. 694 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-5153&event=1"
"Rita P. Maguire",1,"2023-03-20","2022-10","21-1484","Arizona v. Navajo Nation","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-1484&event=2"
"Rita S. Eppler",1,"1989-11-29","1989-10","88-805","Ohio v. Akron Center for Reproductive Health","497 U.S. 502 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-805&event=1"
"Rita S. Eppler",2,"1991-01-07","1990-10","89-7376","Wilson v. Seiter","501 U.S. 294 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-7376&event=1"
"Roberta A. Kaplan",1,"2013-03-27","2012-10","12-307","United States v. Windsor","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=12-307&event=2"
"Roberta Lee Halladay",1,"1990-11-05","1990-10","89-1452,89-1453","Mobil Oil Exploration & Producing Southeast, Inc. v. United Distribution Companies","498 U.S. 211 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1452%2C89-1453&event=1"
"Robin C. Konrad",1,"2015-04-29","2014-10","14-7955","Glossip v. Gross","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=14-7955&event=2"
"Robin Urbanski",1,"2015-03-03","2014-10","13-1428","Davis v. Ayala","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1428&event=2"
"Robyn Greene",1,"1982-11-03","1982-10","81-1222","United States v. Generix Drug Corporation","460 U.S. 453 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-1222&event=1"
"Rosalie S. Asher",1,"1961-04-25","1960-10","95","Atchley v. California","366 U.S. 207 (1961)","https://argumentaloud.org/courts/ussc/?term=1960-10&case=95&event=1"
"Rosalyn B. Kaplan",1,"1987-11-02","1987-10","86-761","Forrester v. White","484 U.S. 219 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-761&event=1"
"Rosemary Scapicchio",1,"2004-10-04","2004-10","04-104,04-105","United States v. Booker","543 U.S. 220 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-104%2C04-105&event=1"
"Rosemary E. Percival",1,"2005-03-01","2004-10","04-5293","Deck v. Missouri","544 U.S. 622 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-5293&event=1"
"Rosemary Scapicchio",1,"2004-10-04","2004-10","04-104,04-105","United States v. Booker","543 U.S. 220 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-104%2C04-105&event=1"
"Rosemary T. Cakmis",1,"2019-04-23","2018-10","17-9560","Rehaif v. United States","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-9560&event=2"
"Roslyn M. Litman",1,"1989-02-22","1988-10","87-2050,88-90,88-96","County of Allegheny v. American Civil Liberties Union, Greater Pittsburgh Chapter","492 U.S. 573 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-2050%2C88-90%2C88-96&event=1"
"Ruth Ann E. Galter",1,"1985-01-07","1984-10","83-1944","Jensen, v. Quaring","472 U.S. 478 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1944&event=1"
"Ruth Bader Ginsburg",1,"1973-01-17","1972-10","71-1694","Frontiero v. Richardson","411 U.S. 677 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=71-1694&event=1"
"Ruth Bader Ginsburg",2,"1974-02-25,1974-02-26","1973-10","73-78","Kahn v. Shevin","416 U.S. 351 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=73-78&event=1"
"Ruth Bader Ginsburg",3,"1974-10-16","1974-10","73-759","Edwards v. Healy","421 U.S. 772 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-759&event=1"
"Ruth Bader Ginsburg",4,"1975-01-20","1974-10","73-1892","Weinberger v. Wiesenfeld","420 U.S. 636 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-1892&event=1"
"Ruth Bader Ginsburg",5,"1976-10-05","1976-10","75-699","Califano v. Goldfarb","430 U.S. 199 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=75-699&event=1"
"Ruth Bader Ginsburg",6,"1978-11-01","1978-10","77-6067","Duren v. Missouri","439 U.S. 357 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-6067&event=1"
"Ruth Botstein",1,"2016-01-20","2015-10","14-1209","Sturgeon v. Frost","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-1209&event=2"
"Ruth Botstein",2,"2018-11-05","2018-10","17-949","Sturgeon v. Frost","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-949&event=2"
"Ruth E. Peters",1,"1983-10-11","1983-10","82-799","Bureau of Alcohol, Tobacco and Firearms v. Federal Labor Relations Authority","464 U.S. 89 (1983)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-799&event=1"
"Ruth E. Peters",2,"1986-01-22","1985-10","84-1728","Equal Employment Opportunity Commission v. Federal Labor Relations Authority","476 U.S. 19 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1728&event=1"
"Ruth E. Peters",3,"1988-02-23","1987-10","86-1715","FLRA v. Aberdeen Proving Ground, Dept. of Army","485 U.S. 409 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-1715&event=1"
"Ruth Friedman",1,"1994-12-05","1994-10","93-7659","Harris v. Alabama","513 U.S. 504 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=93-7659&event=1"
"Ruth Kessler Toch",1,"1958-03-04","1957-10","165","Lerner v. Casey","357 U.S. 468 (1958)","https://argumentaloud.org/courts/ussc/?term=1957-10&case=165&event=1"
"Ruth Kessler Toch",2,"1961-10-12","1961-10","15","Western Union Telegraph Company v. Pennsylvania","368 U.S. 71 (1961)","https://argumentaloud.org/courts/ussc/?term=1961-10&case=15&event=1"
"Ruth Kessler Toch",3,"1966-02-23","1965-10","545","Joseph E. Seagram & Sons, Inc. v. Hostetter","384 U.S. 35 (1966)","https://argumentaloud.org/courts/ussc/?term=1965-10&case=545&event=1"
"RUTH V. ILES",1,"1966-11-17","1966-10","105","Keyishian v. Board of Regents of Univ. of State of N. Y.","385 U.S. 589 (1967)","https://argumentaloud.org/courts/ussc/?term=1966-10&case=105&event=1"
"Ruth Weyand",1,"1944-03-02","1943-10","265","Medo Photo Supply Corp. v. NLRB","321 U.S. 678 (1944)","https://argumentaloud.org/courts/ussc/?term=1943-10&case=265"
"Ruth Weyand",2,"1945-01-10","1944-10","226","Republic Aviation Corp. v. NLRB","324 U.S. 793 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=226"
"Ruth Weyand",3,"1945-10-12","1945-10","39","May Department Stores Co. v. NLRB","326 U.S. 376 (1945)","https://argumentaloud.org/courts/ussc/?term=1945-10&case=39"
"Ruth Weyand",4,"1946-01-09","1945-10","319","NLRB v. Cheney Cal. Lumber Co.","327 U.S. 385 (1946)","https://argumentaloud.org/courts/ussc/?term=1945-10&case=319"
"Ruth Weyand",5,"1946-10-16","1946-10","38,39","NLRB v. Donnelly Garment Co.","330 U.S. 219 (1947)","https://argumentaloud.org/courts/ussc/?term=1946-10&case=38%2C39"
"Ruth Weyand",6,"1947-03-07","1946-10","418","NLRB v. Jones & Laughlin Steel Corp.","331 U.S. 416 (1947)","https://argumentaloud.org/courts/ussc/?term=1946-10&case=418"
"Ruth Weyand",7,"1949-11-17","1949-10","47","Colgate-Palmolive-Peet Co. v. NLRB","338 U.S. 355 (1949)","https://argumentaloud.org/courts/ussc/?term=1949-10&case=47"
"Ruth Weyand",8,"1976-01-19,1976-01-20","1976-10","74-1589,74-1590","General Electric Company v. Gilbert","429 U.S. 125 (1976)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=74-1589%2C74-1590&event=1"
"Ruth Weyand",9,"1976-10-13","1976-10","74-1589,74-1590","General Electric Company v. Gilbert","429 U.S. 125 (1976)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=74-1589%2C74-1590&event=3"
"Ruthanne M. Deutsch",1,"2021-01-19","2020-10","19-1231","FCC v. Prometheus Radio Project","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-1231&event=2"
"S. Adele Shank",1,"1989-12-05","1989-10","88-5986","Osborne v. Ohio","495 U.S. 103 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-5986&event=1"
"S. Adele Shank",2,"1997-12-10","1997-10","96-1769","Ohio Adult Parole Authority v. Woodard","523 U.S. 272 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-1769&event=1"
"Sally A. Kelly",1,"1985-02-26","1984-10","84-325,84-356","Metropolitan Life Insurance Company v. Massachusetts","471 U.S. 724 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-325%2C84-356&event=1"
"Sally L. Wellman",1,"1992-12-01","1992-10","91-7358","Brecht v. Abrahamson","507 U.S. 619 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-7358&event=1"
"Sally L. Wellman",2,"1997-04-14","1996-10","96-6298","Lindh v. Murphy","521 U.S. 320 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-6298&event=1"
"Sally Louise Dilgart",1,"1987-02-24","1986-10","85-1973","Pope v. Illinois","481 U.S. 497 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-1973&event=1"
"Sana F. Shtasel",1,"1979-02-27","1978-10","78-5072","Davis v. Passman","442 U.S. 228 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=78-5072&event=1"
"Sandra A. Blanding",1,"1991-11-06","1991-10","90-1014","Lee v. Weisman","505 U.S. 577 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1014&event=1"
"Sandra D. Howard",1,"1996-12-09","1996-10","95-1598","Young v. Harper","520 U.S. 143 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-1598&event=1"
"Sandra Stewart",1,"2001-04-17","2000-10","00-492","Alabama v. Bozeman","533 U.S. 146 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=00-492&event=1"
"Sara S. Beale",1,"1978-12-05","1978-10","77-1547","Douglas Oil Company of California v. Petrol Stops Northwest","441 U.S. 211 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1547&event=1"
"Sara S. Beale",2,"1979-03-21","1978-10","78-160,78-161","Wilson v. Omaha Indian Tribe","442 U.S. 653 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=78-160%2C78-161&event=1"
"Sara S. Beale",1,"1978-01-11","1977-10","77-142","United States v. Culbert","435 U.S. 371 (1978)","https://argumentaloud.org/courts/ussc/?term=1977-10&case=77-142&event=1"
"Sara S. Beale",2,"1978-04-18","1977-10","77-380","Andrus v. Charlestone Stone Products Company","436 U.S. 604 (1978)","https://argumentaloud.org/courts/ussc/?term=1977-10&case=77-380&event=1"
"Sara S. Beale",3,"1979-01-16","1978-10","77-1686","Leo Sheep Company v. United States","440 U.S. 668 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1686&event=3"
"Sara Sun Beale",4,"1995-10-03","1995-10","94-7427","Libretti v. United States","516 U.S. 29 (1995)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-7427&event=1"
"Sarah Baumgartel",1,"2018-10-02","2018-10","17-6086","Gundy v. United States","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-6086&event=2"
"Sarah Boyce",1,"2022-03-21","2021-10","21-248","Berger v. North Carolina State Conf. of NAACP","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=21-248&event=2"
"Sarah E. Bennett",1,"1982-04-19","1981-10","80-1745","F. W. Woolworth Company v. Taxation and Revenue Department of New Mexico","458 U.S. 354 (1982)","https://argumentaloud.org/courts/ussc/?term=1981-10&case=80-1745&event=1"
"Sarah E. Harrington",1,"2010-11-02","2010-10","08-1438","Sossamon v. Texas","563 U.S. 277 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=08-1438&event=1"
"Sarah E. Harrington",2,"2011-03-29","2010-10","10-5443","Fowler v. United States","563 U.S. 668 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=10-5443&event=1"
"Sarah E. Harrington",3,"2011-11-09","2011-10","10-879","Kurns v. Railroad Friction Products Corp.","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-879&event=2"
"Sarah E. Harrington",4,"2012-04-23","2011-10","11-166","RadLax Gateway Hotel, LLC v. Amalgamated Bank","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=11-166&event=2"
"Sarah E. Harrington",5,"2012-10-02","2012-10","11-184","Kloeckner v. Solis","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-184&event=2"
"Sarah E. Harrington",6,"2012-11-06","2012-10","11-8976","Smith v. United States","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-8976&event=2"
"Sarah E. Harrington",7,"2013-04-23","2012-10","12-357","Sekhar v. United States","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=12-357&event=2"
"Sarah E. Harrington",8,"2014-01-13","2013-10","12-5196","Law v. Siegel","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-5196&event=2"
"Sarah E. Harrington",9,"2014-02-25","2013-10","12-9012","Robers v. United States","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-9012&event=2"
"Sarah E. Harrington",10,"2014-04-23","2013-10","13-301","United States v. Clarke","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=13-301&event=1"
"Sarah E. Harrington",11,"2014-10-08","2014-10","13-517","Warger v. Shauers","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-517&event=2"
"Sarah E. Harrington",12,"2014-12-03","2014-10","13-1211","Hana Financial, Inc. v. Hana Bank","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1211&event=2"
"Sarah E. Harrington",13,"2015-04-21","2014-10","14-378","McFadden v. United States","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=14-378&event=1"
"Sarah E. Harrington",14,"2015-12-08","2015-10","14-232","Harris v. Arizona Independent Redistricting Comm'n","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-232&event=2"
"Sarah E. Harrington",15,"2016-03-01","2015-10","15-145","Husky Int'l Electronics, Inc. v. Ritz","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-145&event=2"
"Sarah E. Harrington",16,"2016-03-29","2015-10","15-338","Sheriff v. Gillie","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-338&event=2"
"Sarah E. Harrington",17,"2016-12-07","2016-10","15-649","Czyzewski v. Jevic Holding Corp.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-649&event=2"
"Sarah E. Harrington",18,"2017-01-17","2016-10","16-348","Midland Funding, LLC v. Johnson","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-348&event=2"
"Sarah E. Harrington",19,"2017-04-17","2016-10","16-605","Town of Chester v. Laroe Estates, Inc.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-605&event=2"
"Sarah E. Harrington",20,"2019-11-04","2019-10","18-556","Kansas v. Glover","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-556&event=2"
"Sarah E. Harrington",21,"2020-12-07","2020-10","18-1447","Republic of Hungary v. Simon","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=18-1447&event=2"
"SARAH E. HARRINGTON",22,"2025-11-04","2025-10","24-724","Hain Celestial Group v. Palmquist","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-724&event=2"
"Sarah H. Bohr",1,"2000-03-28","1999-10","98-9537","Sims v. Apfel","530 U.S. 103 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=98-9537&event=1"
"Sarah Harrington",1,"2010-03-22","2009-10","08-998","Hamilton v. Lanning","560 U.S. 505 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-998&event=1"
"Sarah E. Harrington",2,"2010-11-02","2010-10","08-1438","Sossamon v. Texas","563 U.S. 277 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=08-1438&event=1"
"Sarah E. Harrington",3,"2011-03-29","2010-10","10-5443","Fowler v. United States","563 U.S. 668 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=10-5443&event=1"
"Sarah Hawkins Warren",1,"2017-10-30","2017-10","16-6855","Wilson v. Sellers","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=16-6855&event=2"
"Sarah Herring Sorin",1,"1913-11-06","1913-10","46","Work v. United Globe Mines","231 U.S. 595 (1914)","https://argumentaloud.org/courts/ussc/?term=1913-10&case=46"
"Sarah L. Reid",1,"2002-04-17","2001-10","01-651","JPMorgan Chase Bank v. Traffic Stream (BVI) Infrastructure Ltd.","536 U.S. 88 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-651&event=1"
"Sarah M. Harris",1,"2020-11-02","2020-10","19-199","Salinas v. Railroad Retirement Bd.","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-199&event=2"
"Sarah M. Harris",2,"2021-03-03","2020-10","19-1442","Carr v. Saul","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-1442&event=2"
"Sarah M. Harris",3,"2022-03-02","2021-10","21-147","Egbert v. Boule","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=21-147&event=2"
"Sarah M. Harris",4,"2022-12-06","2022-10","21-908","Bartenwerfer v. Buckley","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-908&event=2"
"Sarah M. Harris",5,"2023-01-11","2022-10","22-96","Financial Oversight Board v. CPI","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=22-96&event=1"
"Sarah M. Harris",6,"2025-03-03","2024-10","23-1201","CC/Devas Ltd. v. Antrix Corp. Ltd.","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1201&event=2"
"Sarah M. Harris",7,"2025-03-26","2024-10","24-354","FCC v. Consumers' Research","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-354&event=2"
"Sarah M. Harris",8,"2025-04-22","2024-10","24-297","Mahmoud v. Taylor","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-297&event=2"
